match_id,control_id,event_component_id,event_date_utc,event_country,dominant_hazard,control_component_id,control_country,observed_event_gpm_mm,control_gpm_mm,observed_diff,false_event_source_event_component_id,false_event_date_utc,false_event_source_country,false_event_source_rule,false_event_gpm_mm,false_event_diff,observed_minus_false_event_diff,false_event_status
4942|2020-01-21|Celaya,4942|2020-01-21|Celaya|ctrl1,4942,2020-01-21,México,low_ceiling_1000m,6696,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2020-01-21|Celaya,4942|2020-01-21|Celaya|ctrl2,4942,2020-01-21,México,low_ceiling_1000m,4288,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2020-01-21|Celaya,4942|2020-01-21|Celaya|ctrl3,4942,2020-01-21,México,low_ceiling_1000m,4134,México,0.0,0.051111,-0.051111,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2020-08-29|Celaya,4942|2020-08-29|Celaya|ctrl1,4942,2020-08-29,México,low_ceiling_1000m,6696,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2020-08-29|Celaya,4942|2020-08-29|Celaya|ctrl2,4942,2020-08-29,México,low_ceiling_1000m,4288,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2020-08-29|Celaya,4942|2020-08-29|Celaya|ctrl3,4942,2020-08-29,México,low_ceiling_1000m,4134,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2020-07-08|Karadeniz Ereğli,4379|2020-07-08|Karadeniz Ereğli|ctrl1,4379,2020-07-08,Turkey,low_ceiling_1000m,3459,Turkey,0.405556,0.0,0.405556,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2020-07-08|Karadeniz Ereğli,4379|2020-07-08|Karadeniz Ereğli|ctrl2,4379,2020-07-08,Turkey,low_ceiling_1000m,4341,Turkey,0.405556,0.0,0.405556,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2020-07-08|Karadeniz Ereğli,4379|2020-07-08|Karadeniz Ereğli|ctrl3,4379,2020-07-08,Turkey,low_ceiling_1000m,858,Turkey,0.405556,0.0,0.405556,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2020-06-15|Karadeniz Ereğli,4379|2020-06-15|Karadeniz Ereğli|ctrl1,4379,2020-06-15,Turkey,low_ceiling_1000m,3459,Turkey,0.254444,0.0,0.254444,,,,missing_false_event_donor,,,,missing_false_event_or_metric
